FSTR_LOOPGROUPID,FDT_TIME,FINT_VOLUME,FINT_SPEED,FINT_OCCUPY,FINT_VH,FSTR_VALIDITY,FINT_LV,FINT_MV,FINT_SV,FINT_LS,FINT_MS,FINT_SS
6.11309E+14,2010/3/1 0:49,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:49,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:49,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:50,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:50,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:50,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:51,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:51,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:51,1,79,1,4926,valid,0,0,1,0,0,79
6.11309E+14,2010/3/1 0:52,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:52,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:52,1,86,1,618,valid,0,0,1,0,0,86
6.11309E+14,2010/3/1 0:53,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:53,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:53,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:54,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:54,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:54,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:55,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:55,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:55,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:56,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:56,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:56,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:57,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:57,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:57,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:58,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:58,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:58,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:59,1,92,1,3796,valid,0,0,1,0,0,92
6.11309E+14,2010/3/1 0:59,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 0:59,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 1:00,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 1:00,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 1:00,2,79,2,473,valid,0,0,2,0,0,79
6.11309E+14,2010/3/1 1:01,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 1:01,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 1:01,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 1:02,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 1:02,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 1:02,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 1:03,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 1:03,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 1:03,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 1:04,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 1:04,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 1:04,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 1:05,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 1:05,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 1:05,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 1:06,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 1:06,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 1:06,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 1:07,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 1:07,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 1:07,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 1:08,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 1:08,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 1:08,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 1:09,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 1:09,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 1:09,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 1:10,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 1:10,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 1:10,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 1:11,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 1:11,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 1:11,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 1:12,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 1:12,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 1:12,1,92,1,7216,valid,0,0,1,0,0,92
6.11309E+14,2010/3/1 1:13,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 1:13,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 1:13,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 1:14,1,87,1,844,valid,0,0,1,0,0,87
6.11309E+14,2010/3/1 1:14,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 1:14,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 1:15,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 1:15,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 1:15,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 1:16,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 1:16,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 1:16,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 1:17,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 1:17,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 1:17,1,102,1,2260,valid,0,0,1,0,0,102
6.11309E+14,2010/3/1 1:18,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 1:18,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 1:18,0,0,0,0,valid,0,0,0,0,0,0
6.11309E+14,2010/3/1 1:19,0,0,0,0,valid,0,0,0,0,0,0
